Crm Cd Desc,count
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",18340
ROBBERY,16992
BRANDISH WEAPON,4605
ATTEMPTED ROBBERY,1943
DISCHARGE FIREARMS/SHOTS FIRED,1845
CRIMINAL HOMICIDE,1229
SHOTS FIRED AT INHABITED DWELLING,996
CRIMINAL THREATS - NO WEAPON DISPLAYED,939
INTIMATE PARTNER - AGGRAVATED ASSAULT,508
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",406
BATTERY - SIMPLE ASSAULT,269
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,250
VANDALISM - MISDEAMEANOR ($399 OR UNDER),238
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",201
"RAPE, FORCIBLE",194
KIDNAPPING,173
OTHER MISCELLANEOUS CRIME,147
INTIMATE PARTNER - SIMPLE ASSAULT,71
BURGLARY,51
CRUELTY TO ANIMALS,45
THEFT PLAIN - PETTY ($950 & UNDER),41
ORAL COPULATION,36
FALSE IMPRISONMENT,36
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,35
CHILD NEGLECT (SEE 300 W.I.C.),31
BURGLARY FROM VEHICLE,25
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",22
EXTORTION,21
"THEFT, PERSON",21
OTHER ASSAULT,21
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,19
KIDNAPPING - GRAND ATTEMPT,18
SEXUAL PENETRATION W/FOREIGN OBJECT,17
"BUNCO, GRAND THEFT",17
VEHICLE - ATTEMPT STOLEN,16
"RAPE, ATTEMPTED",15
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",13
WEAPONS POSSESSION/BOMBING,13
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),13
DISTURBING THE PEACE,11
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,11
THROWING OBJECT AT MOVING VEHICLE,10
SHOPLIFTING - PETTY THEFT ($950 & UNDER),10
VIOLATION OF RESTRAINING ORDER,9
RESISTING ARREST,9
VIOLATION OF COURT ORDER,9
STALKING,9
"BURGLARY, ATTEMPTED",8
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,6
VEHICLE - STOLEN,6
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),6
TRESPASSING,5
BATTERY WITH SEXUAL CONTACT,5
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),4
PIMPING,4
"MANSLAUGHTER, NEGLIGENT",4
THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),3
"BUNCO, PETTY THEFT",3
BOMB SCARE,3
CONSPIRACY,2
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",2
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,2
CHILD ANNOYING (17YRS & UNDER),2
BIKE - STOLEN,2
PURSE SNATCHING,2
CONTEMPT OF COURT,2
BATTERY POLICE (SIMPLE),2
PROWLER,2
PANDERING,2
UNAUTHORIZED COMPUTER ACCESS,1
BRIBERY,1
CHILD PORNOGRAPHY,1
DRIVING WITHOUT OWNER CONSENT (DWOC),1
FALSE POLICE REPORT,1
LEWD CONDUCT,1
"BURGLARY FROM VEHICLE, ATTEMPTED",1
THEFT FROM PERSON - ATTEMPT,1
THEFT FROM MOTOR VEHICLE - ATTEMPT,1
